name,role,country,interests
Bart Van Eenoo,Directeur Général · Port Autonome de Cotonou,🇧🇯,"Intervenant, Ports & Logistique"
Cica Bidossessi Gislaine Amoussou,Port Autonome de Cotonou,🇧🇯,"Partenaire, Ports & Logistique"
Olivier Mbea,Ingénieur d'Études et de Prospectives · Port Autonome de Douala,🇨🇲,"Invité, Ports & Logistique"
Ahhmadou Tidjani,Directeur de l'exploitation · Port Autonome de Douala,🇨🇲,"Invité, Ports & Logistique"
Olivier Tayah,Chef Service Facturation · Port Autonome de Douala,🇨🇲,"Invité, Ports & Logistique"
Talla Yvette Yeyo,Chef de Brigade de Recouvrement · Port Autonome de Douala,🇨🇲,"Invité, Ports & Logistique"
Derman Abdoul-Razak,Directeur Commercial · Port Autonome de Lomé,🇹🇬,"Invité, Ports & Logistique"
d'Almeida Bilabina Abiré,Directrice de l'Exploitation · Port Autonome de Lomé,🇹🇬,"Intervenant, Ports & Logistique"
Kodjo Deakissim,Contrôleur de Gestion · Port Autonome de Lomé,🇹🇬,"Invité, Ports & Logistique"
Maria Ogbugo,Project Development Coordinator · Prime Meridian Docks,🇬🇭,"Intervenant, Ports & Logistique"
Joseph Ambakederimo,CEO · Puffa Nigeria Limited,🇳🇬,"Invité, Ports & Logistique"
Yankuba Askia Bio,Director General · Sierra Leone Ports and Harbours Authority,🇸🇱,"Intervenant, Ports & Logistique"
Martin Maada George,Company Secretary · Sierra Leone Ports and Harbours Authority,🇸🇱,"Invité, Ports & Logistique"
Alpha Yayah Bangura,Harbour Master · Sierra Leone Ports and Harbours Authority,🇸🇱,"Invité, Ports & Logistique"
Abu Bakarr Kamara,Director - Planning & Research · Sierra Leone Ports and Harbours Authority,🇸🇱,"Invité, Ports & Logistique"
Cadet Hajatiana Endor,Directeur Général · SMMC Port Toamasina,🇲🇬,"Inscrit, Ports & Logistique"
Amine Malti,Directeur Études Maritimes et Portuaires & Océanographie · Tanger Med,🇲🇦,"Intervenant, Ports & Logistique"
Nasser Tlassellal,Directeur Général · Tanger Med Engineering,🇲🇦,"Intervenant, Ports & Logistique"
Adil Raissouni,Directeur Digital Planning · Tanger Med Engineering,🇲🇦,"Intervenant, Ports & Logistique"
Oussama Boushaba,Directeur Gestion d'Assets & Solutions Numériques · Tanger Med Engineering,🇲🇦,"Intervenant, Ports & Logistique"
Imam Fertat,Business Développement Afrique de l'Ouest · Tanger Med Engineering,🇲🇦,"Partenaire, Ports & Logistique"
Mohamed Bensouda,Strategic Intelligence Manager · Tanger Med Engineering,🇲🇦,"Partenaire, Ports & Logistique"
Fatima Ezzahraa Lakhdadi,Tanger Med Port Authority,🇲🇦,"Partenaire, Ports & Logistique"
Anita Msami,Transport Intern · The World Bank,🇹🇿,"Invité, Ports & Logistique"
Tidiane Edouard Boye,Représentant · Unido,🇨🇮,"Intervenant, Ports & Logistique"
Ndeye D. D. Gueye,Transport Specialist · World Bank,🇬🇭,"Intervenant, Ports & Logistique"
Akua Timpabi,World Bank,🇬🇭,"Intervenant, Ports & Logistique"
Aaron Ayayee,Commercial Manager · Yilport - ATSL (Takoradi),🇬🇭,"Invité, Ports & Logistique"
